30462144	12531127
30462144	14089556
30462144	18467047
30462144	18642952
30462144	20568859
30462144	26210583
30462144	142921868
30462144	185642977
84295541	56067667
84295541	83618317
84295541	150840147
5729684	10776025
5729684	21779664
5729684	22247155
5729684	31649651
5729684	37773556
5729684	47243480
5729684	143035231
90689814	1061120
90689814	3116958
90689814	5024304
90689814	12573022
90689814	32240915
90689814	74851849
90689814	106371511
13080486	11550714
13080486	12173839
13080486	127468897
1872879	1430623
33264008	26495729
33264008	28808345
33264008	126484596
33264008	152544338
7168660	142803650
89305342	2333910
89305342	6879075
89305342	8454277
89305342	14647760
89305342	18361580
89305342	22320032
89305342	23154892
89305342	26361037
89305342	30145196
89305342	32962736
89305342	38081229
89305342	43569982
89305342	43790339
89305342	50327628
89305342	153893783
52152423	13702150
52152423	19325890
52152423	19524290
52152423	21532409
52152423	21763063
52152423	22718409
52152423	33727380
52152423	108819778
52152423	122279276
52152423	142423351
52152423	222053817
52199826	18361580
52199826	43569982
52199826	50327628
53484743	3628245
53484743	4179645
53484743	4282026
53484743	13664232
53484743	13666234
53484743	15228599
53484743	19704823
53484743	175580855
10283158	10261821
5788575	229940
5788575	1359379
5788575	2060698
5788575	2279211
5788575	2556808
5788575	4607464
5788575	14046900
5788575	17710902
5788575	23103482
5788575	28030344
5788575	34452003
5788575	46779917
5788575	48585537
5788575	49764119
5788575	54239631
5788575	56106507
5788575	105828322
5788575	120233971
5788575	134113930
5788575	158888246
5788575	200272165
5531213	3954158
53852117	206778302
20439941	20094326
106371511	102324331
25094205	12135189
25094205	23313508
25094205	100445796
25094205	133527394
25094205	145695526
25094205	149207216
25094205	172018852
142921868	12531127
142921868	14089556
64350261	5858122
64350261	10815030
64350261	13529863
64350261	13702150
64350261	17083168
64350261	18729516
64350261	19325890
64350261	19524290
64350261	21532409
64350261	21763063
64350261	22718409
64350261	33727380
64350261	41355690
64350261	52152423
64350261	60579311
64350261	108819778
64350261	114488651
64350261	122279276
64350261	142423351
64350261	222053817
13666234	13664232
22247155	10776025
22247155	14210723
22247155	14389864
22247155	15918190
22247155	21779664
19121137	166187465
84833441	3866081
84833441	3954158
84833441	4439873
84833441	7061836
84833441	11380344
84833441	11550714
84833441	18337479
84833441	25554375
84833441	29298797
84833441	31608254
84833441	43137720
84833441	118412520
84833441	134848416
84833441	135785802
84833441	180950472
84833441	225242036
84833441	249804078
84833441	264704004
204521023	1430623
204521023	1597329
204521023	14053065
204521023	14663727
204521023	14792248
204521023	18530955
204521023	112420625
204521023	126963218
204521023	148078103
204521023	178066976
204521023	182752284
7266359	12340610
7266359	37858915
46779917	229940
46779917	3954158
46779917	17856712
46779917	21664755
46779917	23103482
46779917	32978904
46779917	34827327
46779917	105828322
46779917	120233971
46779917	136174995
46779917	153141938
46779917	158888246
